work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2022,MI,FT,Principal Data Analyst,75000,USD,75000,CA,100,CA,S
2021,SE,FT,Principal Data Analyst,170000,USD,170000,US,100,US,M
