work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2023,SE,FT,Big Data Architect,124999,GBP,151902,GB,100,GB,L
2021,SE,FT,Big Data Architect,125000,CAD,99703,CA,50,CA,M
