work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2023,MI,FT,ETL Engineer,70000,GBP,85066,GB,100,GB,M
2023,MI,FT,ETL Engineer,47500,GBP,57723,GB,100,GB,M
