work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2023,MI,FT,Data Analytics Lead,1440000,INR,17509,IN,50,SG,M
2022,SE,FT,Data Analytics Lead,405000,USD,405000,US,100,US,L
