work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2023,EN,FT,AI Programmer,70000,USD,70000,IN,0,AU,L
2022,EN,FT,AI Programmer,40000,USD,40000,PK,100,AU,M
