work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2023,MI,FT,Product Data Analyst,1350000,INR,16414,IN,100,IN,L
2022,EN,FT,Product Data Analyst,100000,USD,100000,US,100,US,M
2022,MI,FT,Product Data Analyst,140000,USD,140000,US,100,US,M
2020,MI,FT,Product Data Analyst,20000,USD,20000,HN,0,HN,S
2020,MI,FT,Product Data Analyst,450000,INR,6072,IN,100,IN,L
