work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2023,EN,FT,Autonomous Vehicle Technician,7000,USD,7000,GH,0,GH,S
2021,MI,FL,Autonomous Vehicle Technician,45555,USD,45555,AS,50,BS,M
