work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2021,SE,FT,Principal Data Engineer,200000,USD,200000,US,100,US,M
2021,SE,FT,Principal Data Engineer,185000,USD,185000,US,100,US,L
